epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8265,2.63011,39.7195,1.34713,0.30009,0.16814,0.14694,0.05684,2.29997,18.3064,1.28122,0.00052,0.00052,0.00052
2,19.7845,2.32917,4.80498,1.16676,0,0,0,0,5.54215,9.21724,19.3781,0.001053,0.001053,0.001053
3,26.5156,2.3603,2.39978,1.19923,0.02632,0.00885,0.01328,0.00266,nan,nan,nan,0.00157888,0.00157888,0.00157888
4,33.3259,2.3931,1.91873,1.32489,8e-05,0.00885,3e-05,1e-05,nan,nan,nan,0.0019604,0.0019604,0.0019604
5,40.0924,2.32448,1.65502,1.28431,0.57592,0.40708,0.42114,0.1508,2.54649,1.66425,1.48621,0.0019472,0.0019472,0.0019472
6,46.8954,2.20311,1.43302,1.26218,0.05031,0.0708,0.03399,0.0118,4.39065,5.10377,6.10205,0.001934,0.001934,0.001934
7,53.7792,2.178,1.35147,1.17834,0.15606,0.24779,0.09559,0.02596,nan,nan,nan,0.0019208,0.0019208,0.0019208
8,60.5624,2.01349,1.24056,1.13505,0.43274,0.23009,0.20164,0.07652,2.60939,1.89713,1.69489,0.0019076,0.0019076,0.0019076
9,67.3956,1.95962,1.14085,1.08619,0.68203,0.73451,0.74738,0.36323,1.92533,1.30941,1.11758,0.0018944,0.0018944,0.0018944
10,74.2413,1.90628,1.11342,1.05949,0.71018,0.72566,0.75087,0.31773,2.02383,1.14021,1.16773,0.0018812,0.0018812,0.0018812
11,81.2455,1.88431,1.13178,1.0509,0.66138,0.68142,0.63401,0.26053,2.08748,1.265,1.12593,0.001868,0.001868,0.001868
12,88.1638,1.8924,1.1068,1.03278,0.64828,0.75221,0.75056,0.373,1.91167,1.11468,1.08263,0.0018548,0.0018548,0.0018548
13,95.0764,1.91689,1.10544,1.05716,0.76975,0.79646,0.84291,0.39744,1.85715,0.94484,1.0255,0.0018416,0.0018416,0.0018416
14,101.944,1.79601,1.02431,1.0718,0.53986,0.35398,0.39489,0.17711,2.37513,2.14712,1.39378,0.0018284,0.0018284,0.0018284
15,108.746,1.84552,1.06244,1.02995,0.70135,0.38053,0.44958,0.19405,2.26799,1.65434,1.34719,0.0018152,0.0018152,0.0018152
16,115.538,1.79113,1.0169,1.00387,0.82633,0.61947,0.74307,0.33582,1.99335,1.09245,1.03621,0.001802,0.001802,0.001802
