epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.5313,1.90925,18.6068,1.09654,0.85635,0.64848,0.84943,0.44973,1.54584,1.72716,1.0118,0.000658228,0.000658228,0.000658228
2,118.509,1.77401,1.40856,1.03973,0.18893,0.84242,0.18339,0.07228,2.00088,7.18652,1.11014,0.00127243,0.00127243,0.00127243
3,176.081,1.83379,1.28179,1.07589,0,0,0,0,nan,nan,nan,0.00183383,0.00183383,0.00183383
4,233.711,1.82742,1.21356,1.08904,0.78829,0.83495,0.86095,0.48271,1.45971,0.88234,0.98628,0.0017624,0.0017624,0.0017624
5,291.445,1.64332,0.99684,0.99397,0.80783,0.77704,0.84605,0.48921,1.46034,0.87668,0.9615,0.0016832,0.0016832,0.0016832
6,349.171,1.57285,0.96204,0.97717,0.78747,0.88182,0.90606,0.47131,1.59308,0.83555,0.95407,0.001604,0.001604,0.001604
7,406.824,1.49622,0.91392,0.96622,0.87541,0.89428,0.93204,0.59361,1.29371,0.77831,0.91436,0.0015248,0.0015248,0.0015248
8,464.554,1.32461,0.79275,0.95906,0.82615,0.864,0.90868,0.62276,1.1533,0.72198,0.8783,0.0014456,0.0014456,0.0014456
9,522.224,1.3164,0.7642,0.90386,0.86934,0.87576,0.93335,0.64717,1.13083,0.69803,0.8787,0.0013664,0.0013664,0.0013664
10,579.878,1.31835,0.76628,0.91037,0.89878,0.88791,0.9421,0.68699,1.06841,0.6304,0.87327,0.0012872,0.0012872,0.0012872
11,637.536,1.23035,0.71486,0.90544,0.87309,0.93333,0.95275,0.69388,1.03159,0.62618,0.86773,0.001208,0.001208,0.001208
12,695.263,1.22361,0.70654,0.89443,0.9265,0.87856,0.95053,0.68485,1.09133,0.63455,0.90837,0.0011288,0.0011288,0.0011288
13,752.918,1.17397,0.67557,0.88942,0.90856,0.95152,0.95984,0.71181,1.01443,0.62358,0.85556,0.0010496,0.0010496,0.0010496
14,810.587,1.16712,0.66367,0.86923,0.92806,0.91515,0.95966,0.66651,1.09837,0.6148,0.85648,0.0009704,0.0009704,0.0009704
15,868.222,1.19244,0.65633,0.86293,0.91651,0.92727,0.96573,0.71373,1.00088,0.56538,0.86447,0.0008912,0.0008912,0.0008912
16,927.35,1.01377,0.59796,0.9015,0.89858,0.91818,0.95121,0.72133,0.97194,0.5514,0.84496,0.000812,0.000812,0.000812
17,984.977,0.99564,0.60777,0.91127,0.84722,0.93333,0.92388,0.70584,0.95852,0.58128,0.84467,0.0007328,0.0007328,0.0007328
18,1042.5,0.97688,0.57945,0.91102,0.87887,0.96738,0.96091,0.70216,1.03198,0.56676,0.83893,0.0006536,0.0006536,0.0006536
19,1099.95,1.01241,0.5757,0.91243,0.92985,0.96402,0.97607,0.68928,1.06337,0.55458,0.84268,0.0005744,0.0005744,0.0005744
20,1157.44,0.91808,0.53783,0.87654,0.94121,0.92178,0.96692,0.75206,0.88787,0.49684,0.82553,0.0004952,0.0004952,0.0004952
21,1215.03,0.91514,0.52163,0.87274,0.93404,0.96061,0.97713,0.76591,0.89167,0.48931,0.82519,0.000416,0.000416,0.000416
22,1272.62,0.84163,0.50445,0.88066,0.93422,0.94679,0.9716,0.76761,0.86384,0.47353,0.81146,0.0003368,0.0003368,0.0003368
23,1330.22,0.83071,0.49789,0.86281,0.87184,0.95455,0.90535,0.6976,0.86482,0.52637,0.8159,0.0002576,0.0002576,0.0002576
24,1387.68,0.81089,0.4851,0.86315,0.93297,0.9697,0.98056,0.78875,0.81471,0.44776,0.8086,0.0001784,0.0001784,0.0001784
25,1445.27,0.76331,0.45969,0.85258,0.94236,0.96667,0.97925,0.78956,0.81048,0.43629,0.8044,9.92e-05,9.92e-05,9.92e-05
